town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id
Aşağı Karaman,675,346,329,565,312,253,Girne,Girne,Girne,35.3149411,33.2644093,ChIJc0Z0on0N3hQRzLJNY-kkK-4
Beylerbeyi̇,918,476,442,934,503,431,Girne,Girne,Girne,35.2968734,33.3542258,ChIJFRSYOaEU3hQRgym5F_XZnto
Doğanköy,868,429,439,457,245,212,Girne,Girne,Girne,35.3241561,33.3331825,ChIJ2_cKfkwT3hQRPMWDanLRPCQ
Edremi̇t,1268,794,474,651,362,289,Girne,Girne,Girne,35.3346453,33.2559847,ChIJZ09DMp4S3hQRd0ZOf_1ilTc
Karakum,722,390,332,299,184,115,Girne,Girne,Girne,35.3337487,33.3416004,ChIJjWF1a69s3hQRq9ClskzK_00
Karaoğlanoğlu,3745,1963,1782,2610,1551,1059,Girne,Girne,Girne,35.3391989,33.2728331,ChIJFTeHhbES3hQRDSlhDo94ZNo
Ozanköy,3070,1615,1455,2584,1441,1143,Girne,Girne,Girne,35.3261677,33.3542258,ChIJWQgBAqsU3hQRDGnebBrZxSQ
Zeyti̇nli̇k Köy,622,296,326,513,265,248,Girne,Girne,Girne,35.3290981,33.2896786,ChIJwVvTLdAS3hQREGDVCh7-Py4
Ilgaz,72,36,36,75,48,27,Girne,Girne,Alsancak,35.3140157,33.2278976,ChIJwfPO3qkN3hQRRA7HzvR1NmY
İncesu,180,103,77,150,86,64,Girne,Girne,Alsancak,35.3306518,33.2096366,ChIJ2-_tevsM3hQRxLzz2YPxzAI
Yeşi̇ltepe,750,454,296,290,147,143,Girne,Girne,Alsancak,35.3442807,33.2208745,ChIJQ37m3RwN3hQRXX8CJYlWe_0
Arapköy,542,302,240,380,228,152,Girne,Girne,Çatalköy,35.2982601,33.4439588,ChIJ99aDMKZq3hQRBu8Ksl2TwCw
Çatalköy,5110,2756,2354,3803,2147,1656,Girne,Girne,Çatalköy,35.3153575,33.4047109,ChIJA34q5CVr3hQRg5Hfzht5-RY
Ağırdağ,745,376,369,454,250,204,Girne,Girne,Dikmen,35.2871985,33.2672173,ChIJ67JSUnAS3hQRLQG8XhnW1cY
Akçi̇çek,79,45,34,87,45,42,Girne,Girne,Dikmen,35.2938313,33.1745097,ChIJq-MB6AEM3hQR-l97Vmwy_A4
Aşağı Taşkent,290,148,142,264,134,130,Girne,Girne,Dikmen,35.2738554,33.365447,ChIJ-9GNM_QU3hQRWfij39XCSdc
Boğazköy,1943,1116,827,1297,782,515,Girne,Girne,Dikmen,35.291758,33.2840638,ChIJX0_u6GkS3hQR-1XLGVP2Udo
Dağyolu,525,258,267,525,267,258,Girne,Girne,Dikmen,35.250621,33.2194699,ChIJyyZGv2cO3hQRMTIGUf-gq2E
Göçeri̇,228,119,109,155,83,72,Girne,Girne,Dikmen,35.2834291,33.2082318,ChIJh1pYrtUN3hQRacUjOhilL48
Güngör,124,68,56,140,100,40,Girne,Girne,Dikmen,35.2661915,33.4215334,ChIJ03YxSXQV3hQR4xFQB-gI_Ow
