town,population,male_population,female_population,population_2006,male_population_2006,female_population_2006,district,subdistrict,municipality,lat,lon,gm_id,greek_name,lat_g,lon_g
Şi̇ri̇nevler,368,201,167,427,228,199,Girne,Girne,Dikmen,35.2784517,33.1727025,ChIJAy0Ii7UO3hQRJ_TtF_VdPxA,'Αγιος Ερμόλαος,35.2644875,33.1745097
Yukarı Taşkent,299,145,154,289,145,144,Girne,Girne,Dikmen,35.2785,33.377,ChIJz9U6E_8U3hQRanxew9hlx0U,Βουνό,35.2569465,33.3962986
Esentepe,1754,920,834,1575,949,626,Girne,Girne,Esentepe,35.3394007,33.5831724,,Άγιος Αμβρόσιος,35.3403306,33.5817749
Bahçeli̇,388,193,195,393,204,189,Girne,Girne,Esentepe,35.3383116,33.6302703,ChIJ8Qe9QW9P3hQR9NaEanZcrvI,Καλογραία,35.3428587,33.6287673
Beşparmak,30,16,14,42,23,19,Girne,Girne,Esentepe,35.3086601,33.469027,ChIJ5YwrdUNA3hQR5J9wzYWE44s,Τράπεζα,35.2975375,33.4775871
Karaağaç,242,116,126,264,133,131,Girne,Girne,Esentepe,35.3193306,33.5559197,ChIJ7VYHdJRG3hQRvc06gOS-wAA,Χάρκεια,35.3124353,33.5392081
Karaman,55,29,26,85,43,42,Girne,Girne,Esentepe,35.3204117,33.2589627,ChIJc0Z0on0N3hQRzLJNY-kkK-4,Καρμι,35.3149411,33.2644093
Karşıyaka,2091,1057,1034,2110,1185,925,Girne,Girne,Lapta,35.3519956,33.1200771,ChIJI23ralMK3hQRmSYUL86bEWI,Βασιλεια,35.3439517,33.1070309
Akdeni̇z,522,276,246,597,317,280,Girne,Çamlıbel,Lapta,35.2986814,32.9635543,ChIJwfPNebbk3RQRQ4wY82BrkXg,Αγια Ειρηνη,35.2907038,32.9775675
Alemdağ,86,45,41,87,45,42,Girne,Çamlıbel,Lapta,35.3080892,33.1516551,ChIJr2BEl-EL3hQRuxRFrugXaDI,Αγριδάκι,35.2974502,33.1548332
Çamlıbel,872,466,406,1037,561,476,Girne,Çamlıbel,Lapta,35.3072059,33.0751473,ChIJKUqtUgji3RQRspS_34LLa1s,Μύρτου,35.3152032,33.0732741
Geçi̇tköy,220,126,94,213,139,74,Girne,Çamlıbel,Lapta,35.336326,33.0681663,ChIJ4xP-0fnh3RQR8AxYXLsvyzE,Πάναγρα,35.3446997,33.0648331
