town,greek_name,turkish_name,population,male_population,female_population,district,roc_control,lat,lon,gm_id,is_dimos,population_2006,male_population_2006,female_population_2006,district_raw,subdistrict,municipality,lat_g,lon_g
Kato Pyrgos,Κάτω Πύργος,Kato Pyrgos,1036,516,520,Lefkosia,True,35.1813827,32.6856272,ChIJ-3ELgVpg5xQRkwqhdn7ExR4,False,,,,Λευκωσίας,,,,
Pigenia,Πηγένια,Pigenia,107,52,55,Lefkosia,True,35.1710158,32.656798,ChIJs7J6ZRFh5xQRZCniW2vxMyo,False,,,,Λευκωσίας,,,,
Pachyammos,Παχύαμμος,Pachyammos,70,35,35,Lefkosia,True,35.1707749,32.584818,ChIJJ8yTb4Jj5xQRmAr-KsUsIkk,False,,,,Λευκωσίας,,,,
Mansoura,Μανσούρα,Mansoura,9,4,5,Lefkosia,True,35.1869582,32.6360673,ChIJl8UxD3hh5xQR1dx_ol1VE0Q,False,,,,Λευκωσίας,,,,
Mosfili,Μοσφίλι,Mosfili,20,6,14,Lefkosia,True,35.1810885,32.6311244,ChIJQctit3xh5xQR1YeeAwdTagk,False,,,,Λευκωσίας,,,,
Agia Napa,Αγία Νάπα,Ayia Napa,3212,1611,1601,Ammochostos,True,34.9887366,34.0002782,ChIJWYKRp2jF3xQRQKqvnhksWJY,False,,,,Αμμοχώστου,,,,
Paralimni,Παραλίμνι,Paralimni,14963,7412,7551,Ammochostos,True,35.0375882,33.9814728,ChIJN6Wo-2vE3xQR3F9Dv19dyqc,False,,,,Αμμοχώστου,,,,
Deryneia,Δερύνεια,Derinköy,5844,2914,2930,Ammochostos,True,35.062854,33.960628,ChIJiejhhbDI3xQRlH6-0Zix_vw,False,,,,Αμμοχώστου,,,,
Sotira ,Σωτήρα ,Sotira,5474,2761,2713,Ammochostos,True,35.0284699,33.9513191,ChIJ6-3Wew3P3xQR2ZIpR6oQHH0,False,,,,Αμμοχώστου,,,,
Liopetri,Λιοπέτρι,Liopetri,4591,2276,2315,Ammochostos,True,35.0096685,33.8929049,ChIJxwJgg__N3xQRZAHKR0V5Cp4,False,,,,Αμμοχώστου,,,,
Frenaros,Φρέναρος,Frenaros,4298,2119,2179,Ammochostos,True,35.0432562,33.924892,ChIJJ1dAX-_O3xQRa4h_7SjjH8g,False,,,,Αμμοχώστου,,,,
Aygorou,Αυγόρου,Avgorou,4604,2300,2304,Ammochostos,True,35.0370977,33.8401219,ChIJayulWQrN3xQRdL-fqV0siVo,False,,,,Αμμοχώστου,,,,
Achna,Άχνα,Dasaki Achnas,2087,1051,1036,Ammochostos,True,35.0728291,33.825531,ChIJEfGqsrEy3hQR9S8OV6Sf2X0,False,,,,Αμμοχώστου,,,,
Acheritou,Αχερίτου,Vrysoules,1556,744,812,Ammochostos,True,35.0732134,33.871748,ChIJ-3bvKvzL3xQRZiFfvsvFLTM,False,,,,Αμμοχώστου,,,,
Larnaka,Λάρνακα,Larnaka,51468,24613,26855,Larnaka,True,34.9182222,33.6200625,ChIJE8tAbKGC4BQRpdBxEyLwy08,True,,,,Λάρνακας,,,,
Aradippou,Αραδίππου,Aradip,19228,9554,9674,Larnaka,True,34.9521888,33.5908529,ChIJ3Qh9XZIn3hQRXyQfEHpuVVQ,True,,,,Λάρνακας,,,,
Livadia,Λιβάδια,Livadia,7206,3521,3685,Larnaka,True,34.9490765,33.6275272,ChIJc16ZWGUo3hQRhM9yVc4utl0,False,,,,Λάρνακας,,,,
Dromolaxia,Δρομολαξιά,Mormenekşe,5064,2462,2602,Larnaka,True,34.8761451,33.5857563,ChIJ-SwF-PGc4BQR-b33EcjjzIE,False,,,,Λάρνακας,,,,
Meneou,Μενεού,Menevi,1625,801,824,Larnaka,True,34.8618571,33.5954577,ChIJzRsWkZmc4BQRI6XabNUSikw,False,,,,Λάρνακας,,,,
Kellia,Κελλιά,Yıldırım,387,187,200,Larnaka,True,34.9769024,33.6233665,ChIJTYIVkZwo3hQRZYA93QHzGLQ,False,,,,Λάρνακας,,,,
Troulloi,Τρούλλοι,Troulloi,1175,606,569,Larnaka,True,35.0150309,33.6216611,ChIJZyCu0Xgv3hQRatZghn44NnA,False,,,,Λάρνακας,,,,
Oroklini  ,Ορόκληνη  ,Oroklini,6134,3052,3082,Larnaka,True,34.9828802,33.6558907,ChIJ_2PZZNoo3hQRKxiKfJKtI8g,False,,,,Λάρνακας,,,,
Avdellero,Αβδελλερό,Avdeler,218,102,116,Larnaka,True,35.0101559,33.5693912,ChIJc-hzgYgm3hQRn1vw1UZ9uFA,False,,,,Λάρνακας,,,,
Pyla,Πύλα,Pile,2771,1402,1369,Larnaka,True,35.0134077,33.6922186,ChIJPZiA7ZEu3hQRWvpMYkNkR4o,False,,,,Λάρνακας,,,,
Xylotymvou,Ξυλοτύμβου,Xylotymvou,3655,1840,1815,Larnaka,True,35.0153362,33.7407024,ChIJtb5OMact3hQRKT5hFPpoz6Y,False,,,,Λάρνακας,,,,
Ormideia,Ορμίδεια,Ormideia,4189,2026,2163,Larnaka,True,34.9923198,33.7791944,ChIJv107r9gs3hQRae-NlJanL0o,False,,,,Λάρνακας,,,,
