geo_code,town,population,male_population,female_population,district,is_dimos
6103,Σουσκιού,10,7,3,Πάφου,False
6104,Τίμη,1220,603,617,Πάφου,False
6106,Αγία Βαρβάρα Πάφου,172,86,86,Πάφου,False
6107,Αναρίτα,876,423,453,Πάφου,False
6110,Μαραθούντα,309,154,155,Πάφου,False
6111,Άρμου,600,291,309,Πάφου,False
6112,Επισκοπή Πάφου,220,103,117,Πάφου,False
6113,Νατά,181,90,91,Πάφου,False
6114,Χολέτρια,264,129,135,Πάφου,False
6115,Αξύλου,61,31,30,Πάφου,False
6116,Ελεδιό,44,21,23,Πάφου,False
6120,Τσάδα,1043,500,543,Πάφου,False
6121,Κοίλη,466,235,231,Πάφου,False
6122,Στρουμπί,540,269,271,Πάφου,False
6123,Πολέμι,848,408,440,Πάφου,False
6124,Καλλέπεια,326,152,174,Πάφου,False
6125,Λετύμβου,249,120,129,Πάφου,False
6127,Κούρδακα,7,4,3,Πάφου,False
6128,Λεμώνα,51,25,26,Πάφου,False
6129,Χούλου,147,59,88,Πάφου,False
6130,Ακουρσός,22,14,8,Πάφου,False
6132,Κάθικας,438,222,216,Πάφου,False
6133,Πέγεια,3953,1969,1984,Πάφου,True
6200,Πάνω Aρχιμανδρίτα,43,19,24,Πάφου,False
6201,Φασούλα Πάφου,56,31,25,Πάφου,False
6202,Μούσερε,2,1,1,Πάφου,False
6204,Μαμώνια,51,23,28,Πάφου,False
6205,Άγιος Γεώργιος Πάφου,101,57,44,Πάφου,False
6206,Σταυροκόννου,56,28,28,Πάφου,False
6207,Πραστιό Πάφου,8,3,5,Πάφου,False
6208,Τραχυπέδουλα,64,27,37,Πάφου,False
6210,Κελοκέδαρα,193,78,115,Πάφου,False
6211,Σαλαμιού,265,131,134,Πάφου,False
6212,Κιδάσι,11,6,5,Πάφου,False
6213,Κέδαρες,80,35,45,Πάφου,False
6214,Μέσανα,31,12,19,Πάφου,False
6215,Πραιτώρι,23,10,13,Πάφου,False
6216,Φιλούσα Κελοκεδάρων,17,7,10,Πάφου,False
6217,Αρμίνου,24,7,17,Πάφου,False
6218,Άγιος Νικόλαος Πάφου,61,30,31,Πάφου,False
6219,Άγιος Ιωάννης Πάφου,29,12,17,Πάφου,False
6220,Αμαργέτη,209,83,126,Πάφου,False
