town,district,lat,lon,gm_id
AVTEPE,İskele,35.4847601,34.236602,ChIJL1aTzkZy3xQR9fXfZJVqp48
BOLTAŞLI,İskele,35.4674542,34.1698823,ChIJq2tM1Dtz3xQRio98UMYlW4o
DERİNCE,İskele,35.4700019,34.1921277,ChIJx0LR8_By3xQRQM3NU_m4cio
ESENKÖY,İskele,35.4893751,34.13928600000001,ChIJ61ThRtEM3xQRkPeCY9yZEm8
GELİNCİK,İskele,35.4516433,34.1587576,ChIJadCyZLMM3xQRTTqTp9vMMA8
KURUOVA,İskele,35.5030642,34.2699432,ChIJneqaDzpu3xQRNuMuM_dsljA
SİPAHİ,İskele,35.5331526,34.236602,ChIJRe5YJrdt3xQRNMiDadjI280
TAŞLICA,İskele,35.4643867,34.2171472,ChIJKVz5NrZz3xQRC0ySgw6qt50
YEŞİLKÖY,İskele,35.5031406,34.1643201,ChIJ_bg3-89y3xQRWY8WMwdxxjA
ZİYAMET,İskele,,,
